Epoch_Number,mean,std,variance,skewness,kurtosis,zero_crossings,delta_power,theta_power,alpha_power,beta_power,gamma_power,delta_rel_power,theta_rel_power,alpha_rel_power,beta_rel_power,gamma_rel_power,spectral_edge_freq,spectral_entropy,wavelet_coeff_0_mean,wavelet_coeff_0_std,wavelet_coeff_0_energy,wavelet_coeff_1_mean,wavelet_coeff_1_std,wavelet_coeff_1_energy,wavelet_coeff_2_mean,wavelet_coeff_2_std,wavelet_coeff_2_energy,wavelet_coeff_3_mean,wavelet_coeff_3_std,wavelet_coeff_3_energy,wavelet_coeff_4_mean,wavelet_coeff_4_std,wavelet_coeff_4_energy,sample_entropy,hurst_exponent,Hypnogram_Stage
0,5.086927770206426e-07,0.00012559798291470758,1.5774853312243175e-08,-0.012902605711884325,0.9628424255228283,580,3.6118342719747466e-09,2.4601044984949056e-09,1.7483497855257922e-09,5.508727732096962e-09,2.791283264591122e-10,0.2654170994121068,0.18078177210611476,0.12847818972001807,0.4048110810202844,0.020511857741475903,25.87890625,5.401880586056745,1.0499165463195283e-06,0.00025858091973233284,1.6047646649849614e-05,-4.5555865412938944e-06,0.00021280125268764363,1.0873230363399738e-05,3.0114696712233563e-06,0.00019573952395716734,1.8165116309377053e-05,-2.9035293524461375e-07,0.00011406794468518311,1.2256908651576318e-05,-1.1773589211583323e-08,3.156373375473279e-05,1.8709939842009604e-06,0.7078379213144822,0.45162305842244926,3
1,-4.1297068305469267e-07,0.00012921813209504062,1.6697325662131367e-08,-0.11082373904842333,0.4603214996376077,555,3.1093440496099095e-09,2.2379669994747822e-09,1.739095788470573e-09,5.700803601596597e-09,2.936937548385851e-10,0.2377010031950533,0.17108656758627863,0.13294920310398253,0.4358111272014076,0.022452098913277888,25.87890625,5.3340616395216465,1.434281668471994e-07,0.00029672786304623316,2.1131386867109553e-05,-2.3978430412225006e-06,0.00018841370290346887,8.521313542331274e-06,5.152124376827322e-07,0.00019254566749370364,1.7573123169850173e-05,1.7759241873505866e-07,0.0001209547934975129,1.3781548179765775e-05,4.606847116571987e-09,3.288776635380317e-05,2.0312545599009986e-06,0.7193262819056961,0.6075402878539968,3
2,1.4010698652791934e-08,0.0001465756557762422,2.1484422866235443e-08,-0.15524466278665155,0.7557789404405706,669,3.622178874714261e-09,2.584663656828308e-09,2.1675829591432055e-09,7.309016325597549e-09,1.7343050570901247e-09,0.20795909488451084,0.14839253754338858,0.12444680560014308,0.41963041366566534,0.0995711483062922,38.57421875,5.6988570630292035,-1.734736021487516e-05,0.0003297480793328061,2.6168334415223802e-05,-2.8247485707032885e-06,0.00020926148174068,1.0511603266750234e-05,2.0987056504752404e-06,0.00021110693586560446,2.1126437351650623e-05,-1.5453601553601225e-06,0.0001407821190199823,1.867231756968779e-05,-1.1488446930633933e-07,6.768624003017061e-05,8.60394486060701e-06,0.7354607542777908,0.5896977891212325,3
3,-6.350028795866819e-07,0.00013271140685074524,1.7612317508304033e-08,-0.059929540384525005,0.7193668365346753,736,3.1143897913391832e-09,2.634953526221373e-09,1.932238877821335e-09,6.054101396216286e-09,1.7245543507169625e-09,0.20144513965176464,0.17043421556982805,0.12498118625540287,0.39159173479769205,0.11154772372531248,38.57421875,5.746101797448784,8.881335344393193e-06,0.0002610277715261973,1.6371450150103732e-05,-7.776141797608399e-06,0.00019710728823826035,9.338820349895318e-06,1.8174455532589703e-05,0.00020041336871205813,1.919502303720776e-05,-1.524236950074521e-06,0.00012795598115100367,1.5425303138781413e-05,6.213920509582872e-08,6.468330865319181e-05,7.857428577097979e-06,0.735010523287442,0.41091804834161677,3
4,1.1377883355178404e-06,0.00012380550366653366,1.532780273812408e-08,-0.09848912220196385,0.4516324509888081,600,3.1229037626229796e-09,2.089761704860052e-09,1.6865885008491168e-09,5.529627448057294e-09,2.943118111795284e-10,0.2454496844279771,0.1642482093513991,0.13256015771218263,0.4346100345372058,0.023131913971235252,26.3671875,5.39797109349267,1.0040940304960291e-05,0.000273785679350788,1.8014260487947267e-05,9.986349485348322e-06,0.00018774226194810477,8.483252183384235e-06,-5.42924310295558e-06,0.00018589988139294228,1.639482698414339e-05,-2.7030749991619496e-07,0.00011693677789559778,1.2881174671485439e-05,1.8829336465180546e-08,3.424900966534439e-05,2.202884643054236e-06,0.6849588561274893,0.5668365423453829,3
5,5.277701843966233e-07,0.00013055509994460045,1.7044634121544613e-08,-0.20026324952315075,1.3400252333260836,538,4.2687979821827606e-09,3.2966379103614158e-09,1.7563272616752236e-09,5.297426740190329e-09,2.9805003074955607e-10,0.2861654034928434,0.2209951657880983,0.11773808495987367,0.355121105966509,0.019980239792675554,25.390625,5.347486586645175,2.1421633183392677e-06,0.0002847570465294514,1.946187945884606e-05,3.6579564873305328e-06,0.0002199255902749485,1.1611355016827454e-05,-8.263460335718491e-07,0.0001870424017379263,1.6583147332542373e-05,1.0819820453462937e-06,0.00012582413947766043,1.4914577444334661e-05,-2.79674734652023e-08,3.1901694960789665e-05,1.9112761384284863e-06,0.6585437539678254,0.43254233560941835,3
6,-8.468580988463712e-07,0.00014318433255058205,2.050175308795567e-08,-0.20169716580073507,0.9225245423060549,539,4.2590037639319034e-09,3.6182614181678417e-09,1.7248060823305994e-09,5.564707717977637e-09,2.7343175012708534e-10,0.2758384479142814,0.23434015771193903,0.11170871383873983,0.3604036119955203,0.01770906853951932,19.04296875,5.2084631824527925,-2.109975404516376e-05,0.0003798596454772445,3.473725197188742e-05,6.0710611062287535e-06,0.00023281969258154316,1.301804808881276e-05,9.745651538011963e-06,0.00018544296156377567,1.634544904606862e-05,-1.784384262505292e-07,0.00012523375626128278,1.4773881065822567e-05,1.560269355661169e-08,3.250164854851943e-05,1.9838392006095498e-06,0.6536377702221773,0.6187582455652867,2
7,-8.834204535136309e-07,0.00014244573060389384,2.0290786167277096e-08,-0.2287185827606832,1.0333399904306138,520,3.595959629466374e-09,2.242087672085754e-09,1.6748562861791704e-09,5.322597440112039e-09,2.885738010953613e-10,0.27399719038002224,0.170837769618772,0.12761709362446622,0.40555982112930855,0.02198812524743105,20.5078125,5.048893655434294,3.968423184829741e-06,0.00037812912670004564,3.4319372361963144e-05,1.1932678476108908e-05,0.0001998096637411357,9.61590972959038e-06,-5.7828195662155554e-06,0.0002062959597824042,2.018835394769772e-05,-5.331740804963824e-07,0.00010611978011826169,1.060851387054532e-05,-5.0956712288122444e-08,3.366187227652243e-05,2.128007326001686e-06,0.6168742714739998,0.6336331088335911,2
8,5.001821386993478e-07,0.00013375623880101836,1.7890731418195047e-08,-0.09269834079765157,0.5632563533344803,603,3.453999069756876e-09,2.3255645446058136e-09,1.7923481077011968e-09,5.441127738417943e-09,4.934195528650142e-10,0.25572943036688556,0.17218166081189243,0.1327030353351704,0.4028537556024948,0.036532117883556724,27.34375,5.428719325734529,3.858609359076258e-06,0.0002970024691605967,2.1174085332882512e-05,-5.855848592721863e-06,0.00020370003973177803,9.966719315872517e-06,2.148995746090153e-06,0.0001984958083477847,1.867806675020531e-05,1.0340047472529601e-07,0.00012703542537380783,1.5202005412051845e-05,1.6750596554871967e-08,4.200162482709916e-05,3.313048851616491e-06,0.6951880041229311,0.5814952135082734,3
9,3.923009672288375e-07,0.00012652715799310813,1.6009121709812945e-08,-0.10776370263015041,0.49606918239673403,681,3.131547291785261e-09,2.3791452718489185e-09,1.6543624828161955e-09,5.968670877267421e-09,7.50743952782295e-10,0.2255431658277069,0.17135297876051414,0.11915200922552015,0.42988107794951447,0.05407076823674436,29.78515625,5.583358110166878,-7.93897603518444e-06,0.0002504444169721513,1.5068503999921923e-05,7.342833061132346e-07,0.000197655052557677,9.376334153652407e-06,3.920647433084511e-06,0.00019190528585952022,1.7463586842914275e-05,5.723513106114712e-07,0.00012833441388124985,1.5514786508675222e-05,-9.394231775251072e-08,4.770884245331519e-05,4.274595565034523e-06,0.774300222205162,0.5526997344786745,3
10,-3.1929351858506436e-08,0.00012614046391024153,1.5911416635490948e-08,-0.1143230396038444,0.5265642218713409,547,3.1000854806688176e-09,2.0844232732976366e-09,1.6251142071943704e-09,5.403188696206799e-09,2.953223789091785e-10,0.24784555967163235,0.16664542187126183,0.12992459166819942,0.431974000321404,0.023610426467502485,25.87890625,5.276956196697641,-1.7195314836234065e-06,0.0002985258555649465,2.1388954375033547e-05,9.266062104087698e-06,0.00018185710165001347,7.957887678590435e-06,5.4460711673619985e-06,0.0001846802884595948,1.61806861337859e-05,2.360960880741169e-07,0.00011460003739032424,1.2371497301175384e-05,2.7644880731189223e-08,3.1734371785967435e-05,1.8912795575183618e-06,0.7111655699004656,0.6313342575007264,3
11,-3.6120870284680874e-07,0.0001226432923314118,1.504137715388813e-08,-0.10091287476243292,0.5100844489944323,582,2.745589220281534e-09,2.1128046130802374e-09,1.6249312339327688e-09,5.557409251017911e-09,2.952707167860783e-10,0.22256712869926326,0.17127138057003574,0.13172264678147402,0.45050316007539826,0.023935683873828762,26.85546875,5.415205053127309,-5.486444700889262e-07,0.00026533965909118854,1.6897304567371846e-05,-5.517285046290984e-06,0.00018877321742320527,8.559784332141782e-06,-6.73550491762398e-06,0.0001924133454942719,1.7570356449076062e-05,-6.203673350601918e-08,0.0001113235207577614,1.1674140175357355e-05,-4.379960979290691e-08,3.175711864536362e-05,1.8939939927495344e-06,0.7033062355777426,0.5524885516271631,3
12,8.459188841739473e-07,0.0001242153783531957,1.5429460219427557e-08,-0.09712468714438731,0.5403202785448031,578,2.713535689942919e-09,2.162050621612468e-09,1.6758693837646822e-09,5.443743283941852e-09,2.82762616056897e-10,0.22100864780172474,0.17609198439232673,0.13649410537361806,0.44337516791202314,0.023030094520307437,26.3671875,5.364658938942422,-1.0958609611184024e-06,0.00027714451543956945,1.8434468003875162e-05,-8.760746149486609e-06,0.00019294758474390535,8.95332507158455e-06,1.347960125677016e-05,0.00019109063504087564,1.7394534633473794e-05,-5.255672880011577e-07,0.00011094310297595534,1.1594746716411006e-05,2.004909851822536e-08,3.215303259067447e-05,1.941510028863966e-06,0.7049398621476926,0.5722731435180155,3
13,-5.439532589797858e-07,0.00011771135203331378,1.3855962397510725e-08,-0.013412945796911371,0.5545443530766434,553,2.5115024982435513e-09,2.0660856817471957e-09,1.5483900009649811e-09,5.137057620711965e-09,2.8735821201559557e-10,0.21743868609748507,0.1788757750860782,0.13405516722032734,0.44475172142407426,0.024878650172035156,26.85546875,5.4420683642905345,2.8147299139493905e-07,0.00023735787706055813,1.352132184713758e-05,-9.3056015692259e-06,0.0001831603663694286,8.072235366995642e-06,-8.49134770934441e-06,0.00018152456047479577,1.565302952566568e-05,5.607462989920937e-07,0.00011747866926214812,1.300106214227203e-05,-2.052735768722857e-08,3.22791039253408e-05,1.956765144656096e-06,0.6817160551137252,0.5049838381869276,3
14,1.9556415642076573e-08,0.00011918883854600505,1.4205979233945661e-08,-0.12085527414379754,0.6296486719507848,608,2.6802387739083737e-09,2.1434966545989874e-09,1.5904464631576033e-09,5.2881104067915924e-09,2.7234144695118913e-10,0.22382636754433022,0.17900310775024875,0.13281796311870808,0.4416093651982947,0.02274319638841828,26.3671875,5.41698751095159,3.0671937356357925e-06,0.00023700370393613874,1.34832392056466e-05,3.0048137917495278e-06,0.00019906617755285525,9.512729268342713e-06,1.7765829114818875e-05,0.00018754068180920099,1.6820900576340936e-05,-4.5037153890943947e-07,0.00011416547451534202,1.2277988818297765e-05,-7.041956121336346e-09,3.163350663580681e-05,1.8792747707502117e-06,0.6675987139566866,0.5076344852575829,2
15,5.899122058257045e-07,0.0001287838484283505,1.6585279616016353e-08,-0.2799643634708014,2.765931422509386,607,4.0142831214636475e-09,2.939410996420572e-09,1.6108509313838894e-09,4.976099394458906e-09,2.6157333374708227e-10,0.2908433402648635,0.21296657130115976,0.11670957213940486,0.3605289725670136,0.018951543727558254,24.90234375,5.373288559396275,5.998220480135455e-06,0.0002796085683027456,1.877206322813747e-05,4.306566686788855e-06,0.00022419876541775595,1.2068071903553692e-05,6.738406169265098e-07,0.00018843299259082736,1.68305297632502e-05,1.0407245585531357e-07,0.00011676221191522807,1.284268631459276e-05,-1.1030722571452687e-08,3.394110279216007e-05,2.1634533340378057e-06,0.6600484619534303,0.5689222397793348,2
16,-7.851394962122898e-07,0.00011795872893125274,1.3914261731076762e-08,-0.06851677982207216,0.629660160414359,598,2.9334207822743332e-09,2.1744262854879354e-09,1.6872078459917009e-09,5.488404430271276e-09,2.963281506469237e-10,0.23318524128620652,0.17285079628005282,0.13412053635296084,0.43628753129540077,0.023555894785378968,26.85546875,5.431798667262543,2.7361910402461366e-06,0.00023824002809958483,1.3623791455271925e-05,5.602217588346484e-06,0.00018563782049778213,8.278268457857748e-06,5.3236887218311295e-06,0.00019569100669441857,1.8165249775511234e-05,-1.1882249027195632e-06,0.00010770688734195966,1.0929258702672877e-05,-6.627122847212641e-09,3.120748482158636e-05,1.8289976329739878e-06,0.6990947868235174,0.4162483195994875,2
17,2.641512266445375e-07,0.0001309602441750275,1.7150585554382825e-08,-0.1567960869451143,2.7587831294971386,603,4.076885472664713e-09,4.075838121080346e-09,1.854670813418095e-09,5.58172564028811e-09,2.872528738328729e-10,0.2567894753340778,0.25672350613635486,0.11681955460568023,0.35157435945619253,0.018093104467694687,24.90234375,5.3510915220864925,-4.861327715834826e-06,0.0002675102641776278,1.7180489747410786e-05,-1.1821154663808917e-06,0.0002418663868931441,1.4040179161372783e-05,4.181532888243636e-06,0.0001933400874634928,1.7726592578263398e-05,1.0933879645350963e-06,0.00012501425797986512,1.472323410415842e-05,2.948340088526089e-08,3.0592623721940464e-05,1.7576380324798183e-06,0.6978777923810128,0.41813570721034365,2
